Title,Price,Location,Description,Time,Intersection,Rooms
N/A,N/A,Barrie,N/A,N/A,N/A,N/A
"

                            Midland 2 Bedroom Apartment - Great View
                        
","
                        
                            
                            
                                
                                
                                    $2,020.00
                                    
                                    
                                    
                                
                                
                            

                            
                                
                                    




",Barrie,"
                        OPEN HOUSE ON NOW! Thursdays and Fridays from 4:00 to 8:00 pm $250 VISA Gift Card MOVE-IN BONUS!* *Gifted upon approved application and move-in. Welcome to the Parkview Apartments are located just ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                ""Let our Customer Service bring you home!"" Williams & McDaniel Property Management
                            


",about  10 hours ago,King Street,"

Beds:
2
"
"

                            JEWEL'S COURT APARTMENTS - 1 Bdrm Units Avail Now & May 1
                        
","
                        
                            
                            
                                
                                
                                    $1,700.00
                                    
                                    
                                    
                                
                                
                            

                            
                                
                                    




",Barrie,"
                        2 Bedroom Apartments - Available Now & May 1, 2023. $1,850/Month + Hydro (Heat & Water Included) Parking $35.00/Month This beautiful, spotless four storey walk up is nestled amongst tall trees in a ...
                        
                            
                            
                            
                        

                        

                        

",13/02/2023,Wellington Street East,"

Beds:
1
"
"

                            Bright & Spacious 3-bedroom Townhouse In Angus/Essa
                        
","
                        
                            
                            
                                
                                
                                    $2,700.00
                                    
                                    
                                    
                                
                                
                            

                            
                                
                            
                        
                    ",Barrie,"
                        Welcome To This Beautiful 3 Bedroom, 3 Bathroom Townhouse Features Airy Open Concept Kitcehn W/ Stianless Steel Appliances, Large Master W/ 5Pc Ensuite, His & Hers Sinks, And Walk In Closet. Located ...
                        
                            
                            
                            
                        

                        

                        

",about  22 hours ago,Centre Street,"

Beds:
3
"
"

                            ORILLIA: Whispering Pines - 2 Bdrm Apts Available March 1 & 4
                        
","
                        
                            
                            
                                
                                
                                    $1,795.00
                                    
                                    
                                    
                                
                                
                            

                            
                                
                                    




",Barrie,"
                        This 3 Storey Walkup Is A Wonderfully Maintained Apartment Building Located On Millard Street In Orillia. Close To Highway 11, Shopping Centers, The Downtown Core, Restaurants, & Banks. Offering 1 & ...
                        
                            
                            
                            
                        

                        

                        

",28/02/2023,Atherley Road,"

Beds:
2
"
"

                            Buy House With Zero Down/Rent To Own Program
                        
","
                        
                            
                            
                                
                                
                                     Please Contact
                                    
                                    
                                    
                                
                                
                            

                            
                                
                            
                        
                    ",Barrie,"
                        Detached House 2606 Sq.Ft ""Cascade Model-Situated On Extra Wide Premium Corner Lot ""4 Bdrms, 5 Pc Master Ensuite, Kitchen Isl, Double Garage W/ Direct Access To House, Dbl Door Entry. Think Outside ...
                        
                            
                            
                            
                        

                        

                        

",24/02/2023,Main Street East,N/A
"

                            Room for rent in home in southwest. Barry
                        
","
                        
                            
                            
                                
                                
                                    $650.00
                                    
                                    
                                    
                                
                                
                            

                            
                                
                            
                        
                    ",Barrie,"
                        A bright clean room available in a home comes furnished with a bad queen size and a dresser There are four males in the house. The house is 420 friendly. No cigarette smoking in the house. There is a ...
                        
                            
                            
                            
                        

                        

                        

",about  7 minutes ago,Fairview Road,N/A
"

                            2 Bedroom Apt For Rent - Woodland Beach, Tiny
                        
","
                        
                            
                            
                                
                                
                                    $2,200.00
                                    
                                    
                                    
                                
                                
                            

                            
                                
                            
                        
                    ",Barrie,"
                        2 bedroom Unit loacated in Woodland Beach area. 2min walk to the beach and LCBO/ Variety store. Clean new unit with all utilizes included. Fully furnished. Wifi and parking also included. Please ...
                        
                            
                            
                            
                        

                        

                        

",about  9 minutes ago,Tiny Beaches Road South,"

Beds:
1
"
"

                            3 Bed / 1 Bath Upper level bungalow in Alcona on large lot.
                        
","
                        
                            
                            
                                
                                
                                    $2,550.00
                                    
                                    
                                    
                                
                                
                            

                            
                                
                            
                        
                    ",Barrie,"
                        UTILITIES INCLUDED. Cable/internet not included. Main/upper level of a legal duplex on a large lot in Alcona on Adullam Ave. Approx 1250sq/ft. 2 parking spots in line + 1.5 car garage. Gated rear ...
                        
                            
                            
                            
                        

                        

                        

",about  13 minutes ago,Innisfil Beach Road,"

Beds:
3
"
"

                            3 Bedroom Townhouse For Lease-Barrie On.
                        
","
                        
                            
                            
                                
                                
                                    $2,800.00
                                    
                                    
                                    
                                
                                
                            

                            
                                
                            
                        
                    ",Barrie,"
                        Brand New, Never Lived In Townhouse For Lease. 3 Bedrooms + Den, 2 & a half baths, Oak Staircase And Quartz Kitchen Counter! 9 Ft. Ceilings On The Main Floor! Large Primary Bedroom With Ensuite And ...
                        
                            
                            
                            
                        

                        

                        

",about  14 minutes ago,Mapleview Drive East,"

Beds:
3+Den
"
"

                            1 Bedroom and bachelor apartments available in barrie
                        
","
                        
                            
                            
                                
                                
                                     Please Contact
                                    
                                    
                                    
                                
                                
                            

                            
                                
                            
                        
                    ",Barrie,"
                        Multiple bachelor + 1 bedroom apartments available near downtown barrie becoming available to rent as of April 1st. The units range from between $950 - $1150 all inclusive with internet included + ...
                        
                            
                            
                            
                        

                        

                        

",about  60 minutes ago,St Vincent Street,"

Beds:
Bachelor/Studio
"
"

                            House for rent
                        
","
                        
                            
                            
                                
                                
                                     Please Contact
                                    
                                    
                                    
                                
                                
                            

                            
                                
                            
                        
                    ",Barrie,"
                        Well Maintained, Sun-Filled Raised Bungalow Featuring 5 Bedrooms and 3 Full Baths. Situated in a Nice Family Oriented Neighborhood. Walking Distance to Park and Bus Stop. Close to Schools, Lake, The ...
                        
                            
                            
                            
                        

                        

                        

",about  2 hours ago,Dunlop Street West,"

Beds:
5+
"
"

                            2 level 1 Bedroom Apt Near Go & Waterfront w/ Ensuite Laundry
                        
","
                        
                            
                            
                                
                                
                                    $1,600.00
                                    
                                    
                                    
                                
                                
                            

                            
                                
                            
                        
                    ",Barrie,"
                        2 level side unit of a Triplex. This 1-bedroom apartment is close to the waterfront, minutes away from Go Station. Features- -Granite countertops -Stainless Steel Fridge, Stove and Dishwasher - ...
                        
                            
                            
                            
                        

                        

                        

",about  2 hours ago,Burton Avenue,"

Beds:
1
"
"

                            Looking for Land near County Rd 27/Innisfil Beach Rd? in Essa
                        
","
                        
                            
                            
                                
                                
                                    $4,490,000.00
                                    
                                    
                                    
                                
                                
                            

                            
                                
                            
                        
                    ",Barrie,"
                        Great Opportunity For Land Bank. The Scenic 70 Acre Farm Just Fronting The Busy Highway 27. Less 30 Minute Drive To Gta And Less 5 Minute Drive To Barrie. Very Close To Highway 400 Entrance And ...
                        
                            
                            
                            
                        

                        

                        

",about  2 hours ago,Line 2 North,N/A
"

                            Private room for rent near Georgian Mall
                        
","
                        
                            
                            
                                
                                
                                    $550.00
                                    
                                    
                                    
                                
                                
                            

                            
                                
                            
                        
                    ",Barrie,"
                        Private room with private washroom for rent. The house will be shared with one couple. Fully furnished house. Looking for females to share one room, with private washroom. 5 minutes to Walmart/ ...
                        
                            
                            
                            
                        

                        

                        

",about  2 hours ago,Livingstone Street West,N/A
"

                            room for rent
                        
","
                        
                            
                            
                                
                                
                                     Please Contact
                                    
                                    
                                    
                                
                                
                            

                            
                                
                            
                        
                    ",Barrie,"
                        Medium/Large room for rent in Orillia, shared kitchen and bathroom, close to all amenities, 500 dollars a month , includes heat , hydro and water, no parking. Text Larry @ 705-309-3435 between 7am ...
                        
                            
                            
                            
                        

                        

                        

",about  2 hours ago,Front Street North,N/A
